id,title,tmdb_id,overview,release_date,duration,rating,vote_count,language,poster_url
86,Laila,1403735,"Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot",2025-02-14,134,5.2,6,te,1403735_aFogllaRGlAhk1nqvVGFpZpl4qU.jpg
87,Dreams,1134463,"Fernando, a young ballet dancer from Mexico, dreams of international recognition and a life in the US. Believing his lover, Jennifer, a socialite and philanthropist, will support him, he leaves everything behind— narrowly escaping death in the process. However, his arrival disrupts Jennifer’s carefully curated world. She will do anything to protect both their futures— and the life she has built.",2025-07-10,95,5.4,11,es,1134463_k18RLaw3Z7kx82lK9V3FzNyJgiH.jpg
88,Bramayugam,1166133,"A folk singer in 17th-century Kerala discovers a mansion. Inside, he encounters an enigmatic cook and a powerful master, setting in motion a chain of events that changes his life.",2024-02-15,139,7.478,69,ml,1166133_snQLwRrfQAl5YFKVefZq9Lbscki.jpg
89,The Conjuring: Last Rites,1038392,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,2025-09-03,136,6.9,1470,en,1038392_byWgphT74ClOVa8EOGzYDkl8DVL.jpg
90,Preparation for the Next Life,1314129,"Aishe, a Uyghur woman trained by her military father, migrates to New York City where she finds herself laboring in Chinatown’s underground kitchens. She fatefully encounters Skinner, a young American soldier who has just returned from three tours in the Middle East. While falling in love, they discover the possibility of a better life together than the ones they believed they were destined to live alone.",2025-09-05,116,6.0,7,en,1314129_8JbuKgQBc8KlXopF1eege54HNQ5.jpg
91,200% Wolf,974663,"When Freddy Lupin's wayward wish transforms him into a werewolf and deposits a mischievous moon sprite on Earth, Freddy must restore the cosmic order before the earth and moon collide.",2024-07-04,98,5.7,29,en,974663_pHGB9jN31cDNKhR0VRNZsXZkGZQ.jpg
92,How to Train Your Dragon,1087192,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",2025-06-06,125,7.978,2276,en,1087192_q5pXRYTycaeW6dEgsCrd4mYPmxM.jpg
93,She Rides Shotgun,1196573,"Newly released from prison and marked for death by unrelenting enemies, Nate must now protect his estranged 11-year-old daughter, Polly, at all costs. With scant resources and no one to trust, Nate and Polly forge a bond under fire as he shows her how to fight and survive—and she teaches him the true meaning of unconditional love.",2025-07-31,120,7.095,164,en,1196573_nvqW8mOm818QDio3GKKmPLK8kXj.jpg
94,Knives Out,546554,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.",2019-11-27,131,7.8,13379,en,
95,Raat Akeli Hai - The Bansal Murders,1415974,"When members of the Bansal family are found murdered, Inspector Jatil Yadav uncovers a trail of greed, betrayal and secrets tied to a deadly conspiracy.",2025-12-18,136,7.2,5,hi,
96,It Was Just an Accident,1456349,"Vahid, an Azerbaijani auto mechanic, was once imprisoned by Iranian authorities. During his sentence, he was interrogated blindfolded. One day, a man named Eqbal enters his workshop. His prosthetic leg creaks, and Vahid thinks he recognizes one of his former torturers.",2025-09-27,103,7.189,204,fa,1456349_eNYGj2DG3n8OrVPTfYunpPW9uas.jpg
97,Inception,27205,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",2010-07-15,148,8.371,38374,en,27205_xlaY2zyzMfkhk0HSC5VUwzoZPU1.jpg
98,Tinsel Town,1430593,"A washed-up Hollywood action hero is tricked into starring in a small English town’s chaotic Christmas pantomime, where a straight-talking dance instructor and his estranged daughter just might help him rediscover the magic of the season.",2025-11-28,94,6.5,15,en,1430593_tGidrBsBBxUkmdQpIeFI09oLL8F.jpg
99,Five Nights at Freddy's,507089,"Recently fired and desperate for work, a troubled young man named Mike agrees to take a position as a night security guard at an abandoned theme restaurant: Freddy Fazbear's Pizzeria. But he soon discovers that nothing at Freddy's is what it seems.",2023-10-25,110,7.371,4739,en,507089_4dKRTUylqwXQ4VJz0BS84fqW2wa.jpg
100,Succubus,1130276,A new father going through a marital separation joins a dating app and matches with a beautiful but mysterious young woman... whose powers of seduction and manipulation entangle him in a mystery more horrifying than he could have ever imagined.,2024-10-06,103,8.802,210,en,1130276_7AfBMebJS8mEtSV5ymdxEPpgvXb.jpg
